id,title,desc,cover,is_excluded,is_digital,is_real,is_playable_two_players,total_plays,total_rejects
1,7 чудес. Дуэль,,,0,1,1,1,12,1
2,Барбария,,,0,0,1,1,3,0
3,Битвы героев,,,0,0,1,1,6,0
4,Борьба за Галактику,,,0,1,1,1,9,0
5,Брюгге,,,0,0,1,1,8,0
6,Бэнг!,,,0,0,1,0,1,0
7,Бэнг. За пригоршню кубиков,,,0,0,1,0,0,1
8,Великий западный путь,,,0,0,1,1,2,0
9,Гавр,,,0,0,1,1,1,1
10,Гайя,,,0,1,0,1,1,0
11,Гномы-вредители. Дуэль,,,0,0,1,1,1,0
12,"Гранд-отель ""Австрия""",,,0,0,1,1,3,0
13,Грани судьбы,,,0,1,1,1,3,0
14,Доббль,,,0,0,1,0,0,0
15,Доминион,,,1,0,1,1,1,0
16,Древний ужас,,,0,0,1,1,4,0
17,Замки безумного короля Людвига,,,0,1,1,1,7,0
18,Замки Бургундии,,,0,1,0,1,2,0
19,Звёздные империи,,,0,0,1,1,14,0
20,Икебана,,,0,0,1,1,4,1
21,Инновация,,,0,1,0,1,1,1
22,Каменный век,,,0,1,1,1,1,0
23,Каркассон,,,0,1,1,1,8,0
24,Каркассон Крепость,,,0,0,1,1,4,0
25,Каркассон. Охотники и собиратели,,,0,0,1,1,5,1
26,Клац,,,0,0,1,0,0,0
27,Кодовые имена,,,0,0,1,0,5,0
28,Кодовые имена. Дуэт,,,0,0,1,1,6,0
29,Конкордия,,,0,0,1,1,3,0
30,Корова 006,,,0,1,1,0,0,0
31,Королевские товары,,,0,0,1,1,2,0
32,Крути педали,,,0,0,1,1,5,0
33,Кубарем по Галактике,,,0,1,0,1,1,1
34,Лабиринт,,,0,0,1,1,3,3
35,Лаборатория,,,0,1,1,1,2,0
36,Мертвый сезон,,,0,0,1,0,0,0
37,Остров Такара,,,0,1,0,1,1,1
38,Пандемия,,,0,1,1,1,1,2
39,Пиксель Тактикс,,,0,0,1,1,2,0
40,Подземелье. Обитель чудовищ,,,0,0,1,1,3,0
41,Покорение Марса,,,0,0,1,1,9,1
42,Проект Гайя,,,0,0,1,1,3,0
43,Пряности,,,0,0,1,1,7,0
44,Пуэрто-Рико,,,0,1,1,1,2,0
45,Робинзон Крузо,,,0,0,1,1,1,0
46,Рококо,,,0,0,1,1,1,0
47,Роскошь,,,1,0,1,1,0,0
48,Русские железные дороги,,,0,1,1,1,5,0
49,Свинтус,,,0,0,1,0,0,0
50,Селестия,,,0,0,1,1,5,2
51,Сердце Дракона,,,0,1,0,1,2,0
52,Собек,,,0,1,0,1,1,0
53,Среди знати,,,0,0,1,0,3,0
54,Строители,,,0,1,0,1,3,0
55,Тайное послание,,,0,1,1,0,16,0
56,Такеноко,,,0,1,0,1,4,0
57,Тик... Так Бумм,,,0,0,1,0,0,0
58,Улей,,,0,1,0,1,3,4
59,Ундервуд,,,0,0,1,1,2,0
60,Чужая планета,,,0,1,1,1,7,0
61,Эволюция,,,1,0,1,1,3,0
62,Эпичные схватки боевых магов,,,1,0,1,1,3,0
63,Эрудит,,,0,1,1,1,1,1
64,Azul,,,0,0,1,1,5,0
65,Can't Stop,,,0,1,1,1,2,0
66,Eminent Domain: Battlecruisers,,,1,0,1,0,0,0
67,EPIC Card Game,,,1,0,1,1,0,0
68,Exploding Kittens,,,1,0,1,1,3,1
69,Five Tribes,,,0,0,1,1,4,1
70,Fluxx,,,0,0,1,1,2,0
71,Hanabi,,,0,1,1,1,4,1
72,Keyflower,,,0,1,0,1,3,0
73,Marco Polo,,,0,1,1,1,6,0
74,Red7,,,0,0,1,1,15,0
75,Runebound,,,0,0,1,1,5,0
76,San Juan,,,0,0,1,1,0,0
77,Seasons,,,0,1,1,1,9,0
78,Sentient,,,0,0,1,1,5,0
79,The Bloody Inn,,,0,0,1,1,2,0
80,The Hobbit Card Game,,,1,0,1,1,2,0
81,The Ravens of Thri Sahashri,,,0,0,1,1,4,0
82,Tiki,,,0,1,1,1,5,2
83,Tobago,,,0,1,1,1,4,0
84,Tzolkin,,,0,1,0,1,0,3
85,Wasabi,,,0,0,1,1,2,1
